gtin,title_kk,brand,ingredients,company_id,certificate_status,notes,off_query
6221007032542,Cerelac,Nestlé,المكولات : دقيق القمح، حليب خالي من الدسم، سكر، زيوت نباتية زيت بذور اللفت منخفض الإبروسيك زيت عباد الشمس، سكر مكرمل كاريونات الكالسيوم، مثبت : فوسفات ثنائي الصوديوم؛ فيتامينات C، نياسين، ب6، تيامين، حمض البانتوتنيك، A، ريبوفلافين، حمض الفو,,reference,open_food_facts,
8445291604113,NESQUIK Moins de Sucres Poudre Cacaotée Boîte 350g,Nestlé,"Cacao maigre en poudre* (35%), fibres solubles de maïs, sucre, émulsifiant : lécithine de SOJA; arômes naturels, sel, vitamines : C, D ; cannelle en poudre. *Bilan massique certifié Rainforest Alliance. Plus d'informations sur ra.org/fr.",,reference,open_food_facts,
3023290634576,Yaos le yaourt à la Grecque,Nestlé,"Lait entier (89,50%), crème (lait) (10,45%), poudre de lait écrémé, ferments lactiques (lait).",,reference,open_food_facts,
7613035833276,Perrier,Nestlé,EAU MINERALE NATURELLE RENFORCEE AU GAZ DE LA SOURCE,,reference,open_food_facts,
7613038954224,NESTLE DESSERT Noir Bio 170g,Bio+,"Sucre*, pâte de cacao* (République Dominicaine), beurre de cacao*, cacao maigre*, arôme naturel de vanille de Madagascar. Cacao : 57% minimum. *Ingrédients issus de l'agriculture biologique. Peut contenir : OEUFS, GLUTEN, LAIT, FRUITS à COQ",,reference,open_food_facts,
6111018908999,nido,Nestlé,المكونات حليب بقر مجفف كامل الدسم، مسحوق مصل الحليب ألياف الذرة. فيتامينات (أ. د. ج. ب 9). 94) معادن احديد، زنك). مستحلب من مصدر نباتي: ليسيتين الصويا. يحتوي على الحليب والصوباء,,reference,open_food_facts,
3023290035809,Le Petit Pot de Crème au Chocolat,Nestlé,"Lait entier (61%), chocolat (10,4%) [sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithine)], œufs entiers frais (9,6%), sucre, crème (lait) (6%), lait écrémé à base de poudre de lait, cacao maigre en poudre (2,7%), blancs d'œufs (1",,reference,open_food_facts,
7613036891532,MAGGI KUB OR Bouillon L'Original 128g,Maggi,"Sel, fécule, sucre, huile de palme¹, arômes, extrait végétal aminé (BLÉ), oignon, extrait de levure, ail, clou de girofle, colorant (caramel ordinaire). Peut contenir : ŒUFS, LAIT, CÉLERI, MOUTARDE. ¹100% issue de plantations plus durables",,reference,open_food_facts,
7613033687886,MAGGI Bouillon de Volaille 18 cubes - 180g,Maggi,"Sel iodé, fécule de pomme de terre, sucre, beurre de karité, arômes (BLÉ), sel, volaille 3% : graisse de poulet*, extrait de poulet* 0,8% ; extrait végétal aminé (BLÉ), curcuma, carotte, persil, extrait de CÉLERI-rave, antioxydant : extrait",,reference,open_food_facts,
7613035982059,"Le Gourmand Soja, Poivre et Persil",Nestlé,"Eau, concentré de protéines de SOJA 14,8%, chapelure (farine de BLÉ, eau, huile de colza, levure, sel, extrait de paprika), protéines de BLÉ 5%, oignons déshydratés, huiles végétales (colza, tournesol) en proportion variable, blanc d'ŒUF en",,reference,open_food_facts,
8002270116542,San Pellegrino,Nestlé,Eau minérale naturelle avec adjonction de gaz carbonique,,reference,open_food_facts,
3033710071005,"Chicorée & Café, RICORÉ® Au Lait, Boîte de 400g",Nestlé,"LAIT entier en poudre 31,8%, PETIT-LAIT filtré en poudre, LACTOSE, café soluble 8%, fibres de chicorée (oligofructose) 8%, chicorée soluble 7,3%, stabilisant : E331, correcteur d'acidité : E340, sulfate de magnésium.",,reference,open_food_facts,
8445290991863,NESTLÉ DESSERT 80% Puissant 170g,Nestlé,"Pâte de cacao¹ (Afrique de l'Ouest, Amérique du Sud), sucre, beurre de cacao¹, cacao¹ en poudre, BEURRE pâtissier, émulsifiant (lécithines), arôme naturel de vanille de Madagascar. Peut contenir : FRUITS À COQUE. Cacao : 80% minimum. Bilan",,reference,open_food_facts,
3069942320901,Menier Pâtissier Tablette,Nestlé,"Pâte de cacao¹, sucre, LACTOSE, beurre de cacao¹, émulsifiant (lécithines), arôme naturel de vanille. Peut contenir : FRUITS A COQUE. ¹Bilan massique certifié Rainforest Alliance. www.ra.org/fr.",,reference,open_food_facts,
7613034579104,PERRIER eau minérale naturelle gazeuse,Nestlé,"Minéralisation caractéristique (mg/L) : Calcium 150 / sodium 9,6 / Magnésium 3,9 / Chlorure 19,5 / Potassium <1 / Hydrogénocarbonate 420 / Sulfate 25,3 / Nitrate 7,3 / Résidu sec à 180°C : 456. pH = 5,5.",,reference,open_food_facts,
8445290114598,Crousti fondant choco-noisettes,Nestlé,"BLÉ complet* 32,5 %, farine de riz*, chocolat en poudre 16,6 % (sucre, cacao en poudre*¹), huile de tournesol, amidon de BLÉ*, pâte de NOISETTE* 5,2 %, sucre, semoule de maïs*, LAIT écrémé en poudre*, émulsifiant (lécithines), agent de char",,reference,open_food_facts,
3023290234853,Yaourt vanille de Madagascar,Nestlé,"Lait entier (90%), sucre (9,5%), ferments lactiques (lait), poudre de lait écrémé, arôme naturel de vanille.",,reference,open_food_facts,
3023290036686,Riz au lait,Nestlé,"whole milk (60,6%), glucose syrup, rice (10,0%), water, sugar, skim milk powder, salt, natural vanilla flavour, 

milk origin france,",,reference,open_food_facts,
7613034227779,"Chicorée & Café, RICORÉ® L'Original, Recharge de 180g",Nestlé,"Café soluble (33,2%), fibres de chicorée (oligofructose) (33%), chicorée soluble (30%), sulfate de magnésium.",,reference,open_food_facts,
7613034916891,Nesquik Original,Nesquik,"sugar, lean cocoa (21,3%), dextrose, emulsifier: soya lecithin, minerals: magnesium carbonate, iron pyrophosphate, zinc sulphate, vitamins: c, b1, d, salt, cinnamon, flavors,
gluten free,",,reference,open_food_facts,
3023290007310,Petit nesquik,Nestlé,"Lait entier (69,4%), sucre, crème (lait) (CH: double-crème) (7,5%), poudre de lait écrémé, amidon modifié, cacao maigre en poudre (1,5%), correcteur d'acidité (citrates de sodium), amidon, concentré de minéraux du lait, cannelle, vitamine D",,reference,open_food_facts,
3387390320000,FITNESS CHOC Barres Céréale 6x23.5g,Nestlé,"BLÉ complet 22,2%, sirop de glucose, chocolat 13,0% (sucre, pâte de cacao*, beurre de cacao*, LAIT écrémé en poudre, LACTOSÉRUM en poudre (LAIT), émulsifiants: lécithine de SOJA, polyricinoléate de polyglycérol; arôme naturel de vanille), r",,reference,open_food_facts,
7613036012241,NESQUIK Poudre Cacaotée boîte 500g,Nestlé,"Sucre, cacao maigre en poudre 23%*, émulsifiant : lécithine de SOJA, sel, vitamines : C, D, arôme naturel, cannelle. *Bilan massique certifié Rainforest Alliance www.ra.org/fr",,reference,open_food_facts,
7613035982110,Falafels Pois chiches,Nestlé,"Pois chiches 27,4%, eau, courgettes, oignons, chapelure 6,3% (farine de BLÉ, eau, sel, levure, huile de colza, extrait de paprika), huiles végétales (tournesol, colza) en proportion variable, purée de pomme, épices (coriandre, cumin, poivre",,reference,open_food_facts,
5000426171514,AFTER EIGHT Coffret 300g,Nestlé,"Sucre, pâte de cacao, sirop de glucose, matières grasses végétales (palme, karité, palmiste), beurre de cacao, matière grasse de LAIT anhydre, émulsifiant (lécithines), stabilisant (invertase), huile essentielle de menthe poivrée, acidifian",,reference,open_food_facts,
8445290728799,KitKat Cereal,Nestlé,"31,4% VOLLKORNWEIZENMEHL, Maisgrieß, Zucker, Dextrose, Palmöl, WEIZENMEHL, 5,4% Kakaopulver*, Glukosesirup, WEIZENSTÄRKE, MAGERMILCHPULVER, Sonnenblumenöl, Calciumcarbonat, GERSTENMALZEXTRAKT, fettarmes Kakaopulver*, natürliche Aromen, Kaka",,reference,open_food_facts,
8002270015322,Eau minérale naturelle gazeuse 50cl PET,Nestlé,"Minéralisation caractéristique (mg/L) : SO4 2 - : 401 / HCO3 - : 244 / Ca 2+ : 166 / Cl - : 49,6 / Mg 2+ : 49,5 / Na+ : 30,0 / SiO2 : 7,3 / Sr 2+ : 2,9 / NO3 - : 2,8 / K+ : 2,1 / F - : 0,5 / Résidu sec à 180°C : 853 mg/L .",,reference,open_food_facts,
3387390339503,"Céréales aromatisées prêtes à consommer sources de 5 vitamines, calcium et fer.",Nestlé,"BLÉ complet 35,7 %, semoule de maïs, sucre, sirop de glucose, sirop de sucre inverti, dextrose, amidon de BLÉ, huile de tournesol, carbonate de calcium, poudre à lever : bicarbonate de sodium ; mélasse, sel, fer, arôme naturel, vitamines B3",,reference,open_food_facts,
7613035587793,NESTLE DESSERT Lait,Nestlé,"Sucre, pâte de cacao* (Afrique de l'Ouest, Amérique du Sud), beurre de cacao*, LAIT entier en poudre (14,4%), LACTOSE, émulsifiant (lécithines), arôme naturel de vanille de Madagascar. Cacao : 39% minimum. Peut contenir : FRUITS A COQUE. *",,reference,open_food_facts,
7613031514276,NESTLE DESSERT Cacao en Poudre boîte 250g,Nestlé,"Cacao en poudre non sucré, correcteur d'acidité (carbonates de potassium, hydroxyde de sodium)",,reference,open_food_facts,
3023290076356,Yaos,Nestlé,"lait entier 89,5%
crème de lait 10,5 %
poudre de lait écrémé
ferments lactiques",,reference,open_food_facts,
7613035040706,NESTLÉ DESSERT Noir,Nestlé,"Sucre, pâte de cacao¹ (Afrique de l'Ouest, Amérique du Sud), beurre de cacao¹, émulsifiant (lécithines), arôme naturel de vanille de Madagascar. Peut contenir : LAIT, FRUITS À COQUE. Cacao : 53% minimum. ¹Bilan massique certifié Rainforest",,reference,open_food_facts,
7613287872302,Nescafe spécial Filtre Bio,Nestlé,Café.,,reference,open_food_facts,
8901058000292,maggi,Nestlé,"NOODLES: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412). Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turme",,reference,open_food_facts,
6294003539052,Kitkat,Nestlé,"Sugar, Wheat Rour, Skimmed Cow's Milk Powder, Non-Hydrogenated Vegetable Oils (Palm Kernel, Shea, Palm), Cocoa Butter, Cocoa Mass, Whey Powder, Milk Fat, Cocoa Powder, Emulsifier from Plant Drigin (Sunflower lecithin), Raising agent (Sodium",,reference,open_food_facts,
3023290624269,La Laitière crème aux oeufs,Nestlé,"Lait entier 56,9 %, crème (_lait_) 14,1%, œufs extra-frais 13,6 %, sucre, poudre de lait écrémé, amidon modifié de maïs, amidon de riz, arôme vanille, colorant (bêta-carotène).",,reference,open_food_facts,
3023290021286,Le yaourt à la vanille,Nestlé,"Lait entier (86,2%), sucre (9,5%), ferments lactiques, poudre de lait écrémé, arôme naturel de vanille. Lait origine France.",,reference,open_food_facts,
8445291075144,NESTLE NESQUIK Céréales 675g,Nesquik,"Farine de BLÉ complet 52,7 %, sucre, semoule de maïs, sirop de glucose, cacao maigre en poudre* 5,5 %, carbonate de calcium, huile de tournesol, sel, arômes naturels, fer, vitamines B3, B5, D, B6, B1, B2, B9. Peut contenir du LAIT et des FR",,reference,open_food_facts,
3033710072925,"NESCAFÉ NES, Café Soluble, Boîte de 25 Sticks (2g chacun)",Nestlé,100% café,,reference,open_food_facts,
3023290032112,Yaos Le Yaourt à la Grecque Stracciatella 125 g,Nestlé,"Lait entier (66,6%), crème (lait) (14,5%), sucre (11,8%), copeaux de chocolat (1,8%) [pâte de cacao, beurre de cacao, sucre, amidon, aromes naturels, poudre de lait écrémé, jus de citron concentré, épaississant (pectines), concentré de miné",,reference,open_food_facts,
8445290204411,Nescafé Gold,Nestlé,قهوة سريعة التحضير,,reference,open_food_facts,
7613032397621,MAGGI Bouillon KUB Volaille Réduit en sel de -25% 120g,Maggi,"iodized salt, sugar, potato starch, mineral salt (potassium), shea butter, flavors (ble), salt, poultry 3%: chicken fat*, chicken extract* 0,8%, amino plant extract (ble), turmeric, carrot, parsley, celeri root and garlic extract, antioxida",,reference,open_food_facts,
8002270506806,Aranciata Rossa (orange sanguine),Nestlé,"ВОДА, САХАР, АПЕЛЬСИНОВЫЙ СОК ИЗ КОНЦЕНТРАТА (10%), СОК КРАСНОГО АПЕЛЬСИНА ИЗ КОНЦЕНТРАТА (5%), КОНЦЕНТРАТ ЛИМОННОГО СОКА, ЭКСТРАКТ АПЕЛЬСИНА (0,1%). КОНЦЕНТРИРОВАННЫЙ СОК ЧЕРНОЙ МОРКОВИ, АРОМАТИЗАТОР.",,reference,open_food_facts,
7613037059285,LION BIO Céréales - Boite de 400g,Nestlé,"Farine de BLÉ complet* 52,6 %, sucre*, farine de BLÉ*, sirop de glucose*, huile de tournesol*, chocolat 3 % (sucre*, cacao en poudre*², pâte de cacao*², cacao maigre en poudre*²), sirop de glucose déshydraté*, sel, émulsifiant (lécithines*)",,reference,open_food_facts,
7613036009104,NESQUIK Poudre Cacaotée boîte 500g,Nestlé,"Sucre, cacao maigre en poudre* (23%), émulsifiant : lécithine de SOJA, sel, vitamines (C, D), arôme naturel, cannelle. *Bilan massique certifié Rainforest Alliance www.ra.org/fr",,reference,open_food_facts,
7613033214006,NESQUIK Gout EXTRA CHOCO Poudre Cacaotée boîte 600g,Nestlé,"Sucre, cacao maigre en poudre* (23%), émulsifiant : lécithine de SOJA, sel, vitamines (C, D), arôme naturel, cannelle. *Bilan massique certifié Rainforest Alliance www.ra.org/fr",,reference,open_food_facts,
8002270766815,Essenza - Saveur Citron & Zeste De Citron,Nestlé,"EAU MINERALE NATURELLE (99,3%), DIOXYDE DE CARBONE, ARÔME NATUREL DE CITRON AVEC AUTRES AROMES NATURELS",,reference,open_food_facts,
7613287194374,Bitesize Shredded Wheat,Nestlé,Whole Grain Wheat (100%),,reference,open_food_facts,
5900020036984,Cheerios Aveia,Nestlé,"Farinha de _aveia_ integral (90,9%). açúcar, amido de _trigo_, carbonato de cálcio, sal, xarope de açúcar invertido, regulador de acidez (fosfatos de potássio), melaço, óleo de girassol e/ou óleo de palma, antioxidante (extrato rico em toco",,reference,open_food_facts,
3023290014082,Yaos Le Yaourt à la Grecque Stracciatella 4x125g,Nestlé,"Lait entier (66,6%), crème (lait) (14,5%), sucre (11,8%), copeaux de chocolat (1,8%) [pâte de cacao, beurre de cacao, sucre], amidon, arômes naturels, poudre de lait écréme , jus de citron concentré, épaississant (pectines), concentré de mi",,reference,open_food_facts,
7613035272907,"RICORE Original, Café & Chicorée, Boîte 200g",Nestlé,"Café soluble 33,2%, fibres de chicorée (oligofructose) 33%, chicorée soluble 30%, magnésium.",,reference,open_food_facts,
6111128000071,Ain Saïss,Danone,Eau minérale naturelle,,reference,open_food_facts,
6111032001007,Assil vanille,Danone,"ليوغور م.د,%2. مصنوع إخط قد يمكن أن يحتوي على الگلوتين، الجوز والبندق. 2.",,reference,open_food_facts,
6111128000169,Ain Saiss Eau Minerale Naturelle,Danone,"Calcium : 63,5
Magnésium : 35,5
Nitratex : 7
Sodium 8
Chlorures : 19,8
Sulfate : 3,8
Bicarbonate : 372
Potassium : 1",,reference,open_food_facts,
6111206000739,Jebli,Danone,"جبن أبيض، قشدة ماء، بروتينات الحليب ملح، مخثرات )نشا، أغار، علكة الزتان(، مادة حافظة )سوربات البوتاسيوم(، نكهة, يحفظ في البرودة بين 4 و 6° 19 % من المواد الدسمة,",,reference,open_food_facts,
6111032006613,Jamila رايبي,Danone,"Lait sans crème, sucre, crème, poudre de lait sans crème, protéines du lait, matière grasse laitiere, colorant naturel",,reference,open_food_facts,
3068320123262,La salvetat,Danone,"EAU MINÉRALE NATURELLE, GAZ CARBONIQUE",,reference,open_food_facts,
6111032001016,DANONE ASSIL BANANE,Danone,"يوغورت عاقد - ا سکر. قشدة، زبدة، نكهة، خمائر حليبية لليوغورت. م. د: %1.80 مصنوع ف خط قد يمكن أن يحتوي على الكلوتين و الفستوه رقم الاعتماد الصحي 0NSSA ؛ 2.1,13 LPL الوزن الصافي : 10 لمكونات حليب بدون قشدة، مسحوق الحليب بدون قشدة تصنوع خط قد",,reference,open_food_facts,
6111032008453,danino,Danone,Danino,,reference,open_food_facts,
6111032002927,Danone nature,Danone,ا المكونات حليب بدون قشدة، قشدة، مس رن الحليب بدون قشدة، مخثرات )نشويات(، نكهة، خمائرحليبية ل ليوغورت. م.د: %3 مصنوع خط قد بمكن أن يحتوي على الكلوتين، الجوز واللوز. منتوج حليبي م مزوج الوزن الصافي : 110غ. رقم الإعتماد الصحي LPL2113،0NS SA,,reference,open_food_facts,
6111032002200,Activia Céréales,Danone,"Lait sans crème, mélanges de produits laitiers, préparations céréalières, crème, sucre, lait en poudre sans crème, amidon modifié, arômes, levure helba, Pour yaourt, bifide et bactéries, Contient du gluten et est fabriqué dans une ligne pou",,reference,open_food_facts,
6111206000696,Coeur de lait,Danone,تحضير من جبنة مدوية، %48 من المادة الدسمة في المادة الجافة. المكونات، حليب مركب، جين، دهون نباتية، مسحوق مصل الخليب، مالتودیکسترين، نشا، بروتينات الحليب، املاح مستحلبة (متعدد الفوسفاط، سيترات الصوديوم، تنائي الفوسفاط، فوسفاط الصوديوم)، ملح،,,reference,open_food_facts,
6111032010139,double zéro Cerise,Danone,"Lait écrémé, lait écrémé en poudre, préparations de fruits, épaississant (amidon), lactosérum, arômes, colorants naturels (toucylate et carmin), édulcorant (stevia), cultures lactiques pour yaourt. Contient naturellement 0% de sucres. Fabri",,reference,open_food_facts,
3033490004527,Danone le nature 125 g x 4,Danone,"LAIT partiellement écrémé à 1 % Mat. Gr. (94,7%), LAIT écrémé concentréou en poudre (5,2%), ferments lactiques (LAIT) LAIT : Origine France",,reference,open_food_facts,
6111032006710,Danette,Danone,milb 17 00 فلان کرآميل 33 يستهلك حتى: 21/04 15:24 رقم الإعتماد الصحی LPL;3.1.13 :ONSSA د المكونات: سکر، مسحوق الحليب بدون قشدة، مغطى بالكراميل، قشدة، مخثر )نشاء 20 20 و U0 مكالمة حرة 80غ 25 کراکینان(، نكهة، ملون طبيعي )با کاروتين(،مثبت )فوس,,reference,open_food_facts,
6111032004457,Dan up,Danone,"milk without whipped cream, milk powder without whipped cream, milky proteins, whipped cream, butter, coagulant (starch), flavor, yeast for yogurt,",,reference,open_food_facts,
6111032010120,Danone (zéro sucre ajouté zéro matière grasse),Danone,33337 دانون % 48 مواد دهنية سكر مضاف غني بالبروتين E : 26 JUL 1008E % شكل 21003,,reference,open_food_facts,
6111032010333,Danone-Peche,Danone,,,reference,open_food_facts,
6111032002884,Velouté Fraise,Danone,"المکونات: حليب بدون قشدة، سكر، مستحضرات الفواکه قشدة، مسحوق الحليب بدون قشدة، زبدة، مخثر(نشا)، نکهات، خمائرحليبية لليوغورت ملون طبيعي(احمرکارمین )م.د.%3.
مصنوع في خط قد يمکن ان يحتوي علي الکلوتین والفستق رقم الآعتماد الصحي LFPL.2.1.13 ONSS",,reference,open_food_facts,
3033491454084,SKYR,Danone,"Lait écrémé, ferments lactiques (lait). Lait: Origine France",,reference,open_food_facts,
6111032002972,عصري بناشي,Danone,"lait sans crème, sucre, poudre
Lait sans matière grasse, coagulants (amidons), crème
de fruits, beurre, lactosérum, graisses végétales de
coco), arômes, colorant naturel, extrait de paprika,
curcumine, acides lactiques pour yaourt, régulate",,reference,open_food_facts,
6111032007667,Velouté,Danone,"المعلومات الغذائية ل 100غ الطاقة )كجل( الطاقة )ککل( الدهون )غ( ما فيها : أحماض دهنية مشبعة )غ( 1,9 السکریات )غ( 325,0 77,8 2,85 10,9 ما فيها : السكر )غ( 7,0 بروتينات )غ( ملح )غ( الكالسيوم )مغ( 2,1 86,7 دانون في الإستماع إليكم 080 009 20 20",,reference,open_food_facts,
6111032004448,Danup fraise,Danone,حليب بدون قشدة ، سكر، مسحوق الحليب بدون قشدة ، مصل الحليب ، قشدة. جزا (نشا) ، زبدة ، مادة ذهنية نباتية جوز الهند) لیات ، خمائر حليبية لليوغرت ، معادن (كالسيوم حديد) (فيتامينات: فيتامين B6، فيتامين (D3) مد: 138,,reference,open_food_facts,
6111032002918,Yawmi velouté pistache,Danone,"منتوج حليبي ممزوج المكونات: حليب بدون قشده، سکر مسحوق الحليب بدون قشدة، مستحضرات الفواكه، قشدة مخثر (نشا)، زبدة، دهون نباتية (جوز الهند)، لاكتون نكهات، ملونات طبيعية(لوتين،مركبات نحاس الكلوروفيل). خمائر حليبية لليوغورت، ملح غذائي،.م.د % 2,8",,reference,open_food_facts,
3033491485756,Yaourt à boire fraise framboise,Danone,"SPECIALITE LAITIERE & BOIRE AROMATISÉE SAVEUR FRAISE-FRAMBOISE, AVEC EDULCORANTS, 0% M.G., ENRICHIE EN MAGNESIUM ET VITAMINE B9",,reference,open_food_facts,
3033492056603,SKYR,Danone,"LAIT écrémé, ferments lactiques (LAIT)",,reference,open_food_facts,
3033491482953,Hipro Myrtille,Danone,"LAIT écrémé, myrtille (5%), magnésium, épaississants (amidon (acesulfame-K, sucralose), ferments lactiques (LAIT), vitamine B9.",,reference,open_food_facts,
6111032009443,Activia ananas fraise,Danone,"حليب بدون قشدة, مسحوق الحليب بدون قشدة, سكر, قشدة, زبدة، مخثر (نشا)، نكهة، خمائر حليبية لليوغورت تحتوي على بيفيدوباكتيريوم، م.د: 1,2٪",,reference,open_food_facts,
3033491147069,Activia bifidus nature 125g x 4,Activia,"LAIT partiellement écrémé à 3.2% de Mat. Gr. (98,5%), LAIT écrémé concentré ou en poudre, ferments (dont ferments du yaourt et Bifidobacterium (LAIT)). LAIT: Origine France",,reference,open_food_facts,
3033491270862,Danone skyr 140 g x 2 nature,Danone,"LAIT écrémé, ferments lactiques (LAIT) LAIT : Origine France",,reference,open_food_facts,
6111032009142,Actimel,Danone,"Lait écrémé, poudre de lait écrémé, sucre, lactose alimentaire, crème, beurre, épaississant (amidon), arômes, ferments lactiques (Lactobacillus Casei, ferments lactiques du yaourt), minéraux (Fer et Zinc), vitamines (B6 et D3). M.G.: 1,8%.",,reference,open_food_facts,
3033491588132,Yaourt protéiné Hipro Vanille 0%mg - 2x160g,Danone,"LAIT écrémé, eau, épaississant (amidon modifié), magnésium, correcteur d'acidité (acide citrique), concentré de carotte, arôme naturel de vanille, arômes naturels, gousses de vanille épuisées, édulcorants (acésulfame-K, sucralose), ferments",,reference,open_food_facts,
3033490165004,Gervita,Danone,"fromage blanc au _lait_ pasteurisé (75,3%), crème (_lait_) (24,6%), gélatine (non porcine), ferments lactiques (_lait_).",,reference,open_food_facts,
3033491997792,Cottage cheese,Danone,"lait écrémé pasteurisé, sel, ferments lactiques",,reference,open_food_facts,
3033490004518,Yaourt le nature,Danone,"LAIT écrémé (93,7%), LAIT écrémé concentré ou en poudre, crème (LAIT), ferments lactiques (LAIT)",,reference,open_food_facts,
6111032009151,Actimel,Danone,"lait écrémé, poudre de lait écrémé, lactose alimentaire, crème, sucre, épaississant (amidon), arômes, ferments lactiques (Lactobacillus Casei, ferments lactiques du yaourt), minéraux (calcium, vitamines (B6 et D3)",,reference,open_food_facts,
6111032006987,Danao Pèche-Abricot,Danone,"Eau, Lait écrémé, Sucre, Concentré de jus de fruit (Pomme, Moricol, Pêche), Stabilisant (Gomme de Cellulose), Régulateur d'acidité (Acide citrique), Arômes, Epaississant (Gomme de Guor), Colorant (Beto Carotène), MG: 0.01%.",,reference,open_food_facts,
6111032007968,Crème caramel,Danone,6 111032 007968 21/07 17:24 راميل في 6 على الأكثر. سنطرال دانون - طريق - محلاة بالكراميل. تاريخ الإنتاج - تاريخ = الحاج قدور مكناس إنتهاء الصلاحية - 30 يو 089,,reference,open_food_facts,
3033491974171,Skyr à Boire Goût Vanille,Danone,"LAIT écrémé (88,9%), protéines de LAIT, sucre (.%) amidon, arômes naturels, concentré de carotte, épaississant (pectines), jus concentré de citron, ferments lactiques (LAIT) Décor : écorce de vanille",,reference,open_food_facts,
6111032009425,Danone max,Danone,"حليب, سكر, مسحوق الحليب, مسحوق لبن, نكهة, مثبتات, زبدة, دكستروز, نكهة الفانيلا, نكهة طبيعية, ملح, فيتامين D3",,reference,open_food_facts,
3033491580547,Fjord nature 125 g x 4,Danone,"Lait entier, crème (lait), protéines de lait, ferments lactiques (lait).",,reference,open_food_facts,
3033491704642,Skyr nature 0%,Danone,"Lait écrémé, ferments lactiques (lait).",,reference,open_food_facts,
6111032009416,Danone max red fruit,Danone,"حليب بقري طازج, مسحوق الحليب منزوع الدسم, سكر, نكهة طبيعية, نكهة الفراولة, مثبتات, سترات الصوديوم, سترات البوتاسيوم, ملح, مستحلب, ليسيثين الصويا, لون طبيعي, عصير البنجر, فيتامين د",,reference,open_food_facts,
3033491350797,Activia bifidus saveur citron,Danone,"LAIT demi-écrémé (81,4%), sucre (7,8%), LAIT écrémé concentré ou en poudre, crème (LAIT), arôme naturel, ferments (dont ferments du yaourt et Bifidobacterium (LAIT)).",,reference,open_food_facts,
6111032009434,Activia,Danone,"حليب مقشود, مسحوق الحليب, سكر, ألياف غذائية, نكهة الفانيليا, مثبت, خميرة اللبن",,reference,open_food_facts,
3033491953637,Crème dessert saveur chocolat noisette,Danone,"LAIT écrémé, protéines de LAIT, épaississant (amidon transformé), crème (LAIT), cacao maigre en poudre (1,5%), magnésium, stabilisants (phosphates de sodium, polyphosphates), arôme, sel édulcorant (sucralose), vitamine B9.",,reference,open_food_facts,
3033491993176,Kéfir Saveur myrtille,Danone,"Lait demi-écrémé (87,6%), crème (LAIT), sucre (3,8%), myrtille (1%), LAIT écrémé en poudre, jus concentré de citron, concentrés de carotte, d'aronia et de raisin; arôme naturel de myrille avec autres arômes naturels, arômes naturels, épaiss",,reference,open_food_facts,
3033491922460,Cottage Cheese,Danone,"Lait écrémé pasteurisé, crème (lait) pasteurisée, sel (0,7%), ferments lactiques (ait)",,reference,open_food_facts,
3033490004545,Danone le nature 125 g x 16,Danone,"LAIT partiellement écrémé à 1 % Mat. Gr. (94,7%), LAIT écrémé concentré ou en poudre (5,2%), ferments lactiques (LAIT) LAIT : Origine France",,reference,open_food_facts,
3033491974214,Skyr à Boire Goût Fruits Rouges,Danone,"Lait écrémé (88,9%), protéines de LAIT, sucre (3%), myrtille (0,2%), framboise (0,2%), mûre (0,2%), amidon, concentrée de carotte, arômes naturel, épaississant (pectines), jus concentré de citron, ferments lactiques (LAIT)",,reference,open_food_facts,
3033492056630,Skyr L’onctueux Nature,Danone,"LAIT écrémé, ferments lactiques (LAIT).",,reference,open_food_facts,
3033490004749,Skyr,Danone,"Lait écrémé, ferments lactiques (lait).",,reference,open_food_facts,
3068320124535,EVIAN Eau Minérale,Danone,Eau minérale naturelle,,reference,open_food_facts,
3033490004581,Danone velouté nature,Danone,"LAIT entier (75,7%), LAIT écrémé concentré ou en poudre (21,8%), crème (LAIT) (2,5%), ferments lactiques (LAIT) LAIT : Origine France",,reference,open_food_facts,
0034361451656,Gervais le petit suisse,Danone,"Lait écrémé, crème pasteurisés (lait), ferments lactiques (lait) conservateur (sorbate de potassium)",,reference,open_food_facts,
3033490004590,Danone veloute nature 125 g x 8,Danone,"LAIT entier (75,7%), LAIT écrémé concentré ou en poudre (21,8%), crème (LAIT) (2,5%), ferments lactiques (LAIT) LAIT : Origine France",,reference,open_food_facts,
6111032010403,danone 0%,Danone,,,reference,open_food_facts,
3033491279711,Danette chocolat 125 g x 4,Danone,"LAIT entier et LAIT écrémé (80,1%), sucre, chocolat (2,2%) (sucre, pate de cacao, cacao maigre en poudre, émulsifiant : lécithine de soja, arôme), cacao maigre en poudre (soja), épaississants : E 1442 (amidon transformé), E 407 (carraghénan",,reference,open_food_facts,
3033491235373,Activia bifidus cereales 120 g x 4 muesli,Activia,"LAIT entier (67%), LAIT écrémé concentré, eau, sucre (6,7%), müesli (3,5%) (raisins secs, BLÉ, AVOINE, NOISETTE, AMANDE, NOIX), crème (LAIT), fructo-oligosaccharide, épaississants (carraghénanes: E407, amidon transformé: E1422), ferments la",,reference,open_food_facts,
